"","species","Freq","cluster"
"1","Acinetobacter",4,"cluster1"
"2","Campylobacter",10,"cluster1"
"3","Cronobacter",1,"cluster1"
"4","Enterobacter",2,"cluster1"
"5","Escherichia_coli_Shigella",45,"cluster1"
"6","Klebsiella",3,"cluster1"
"7","Listeria",8,"cluster1"
"8","Mycobacterium_tuberculosis",1,"cluster1"
"9","Neisseria",4,"cluster1"
"10","Pseudomonas_aeruginosa",6,"cluster1"
"11","Salmonella",41,"cluster1"
"12","Acinetobacter",2,"cluster2"
"13","Campylobacter",32,"cluster2"
"14","Citrobacter_freundii",1,"cluster2"
"15","Clostridium_botulinum",1,"cluster2"
"16","Clostridium_perfringens",1,"cluster2"
"17","Enterobacter",6,"cluster2"
"18","Escherichia_coli_Shigella",111,"cluster2"
"19","Klebsiella",26,"cluster2"
"20","Klebsiella_oxytoca",2,"cluster2"
"21","Listeria",8,"cluster2"
"22","Mycobacterium_tuberculosis",1,"cluster2"
"23","Providencia",1,"cluster2"
"24","Pseudomonas_aeruginosa",4,"cluster2"
"25","Salmonella",14,"cluster2"
"26","Serratia",1,"cluster2"
"27","Staphylococcus_pseudintermedius",1,"cluster2"
"28","Vibrio_cholerae",3,"cluster2"
"29","Vibrio_parahaemolyticus",6,"cluster2"
"30","Vibrio_vulnificus",2,"cluster2"
"31","Acinetobacter",1,"cluster3"
"32","Campylobacter",30,"cluster3"
"33","Enterobacter",2,"cluster3"
"34","Escherichia_coli_Shigella",107,"cluster3"
"35","Klebsiella",19,"cluster3"
"36","Legionella_pneumophila",1,"cluster3"
"37","Listeria",7,"cluster3"
"38","Mycobacterium_tuberculosis",4,"cluster3"
"39","Neisseria",7,"cluster3"
"40","Photobacterium_damselae",1,"cluster3"
"41","Pseudomonas_aeruginosa",9,"cluster3"
"42","Salmonella",67,"cluster3"
"43","Serratia",1,"cluster3"
"44","Vibrio_cholerae",1,"cluster3"
"45","Vibrio_parahaemolyticus",1,"cluster3"
"46","Acinetobacter",2,"cluster4"
"47","Campylobacter",10,"cluster4"
"48","Clostridioides_difficile",1,"cluster4"
"49","Clostridium_perfringens",1,"cluster4"
"50","Cronobacter",1,"cluster4"
"51","Enterobacter",2,"cluster4"
"52","Escherichia_coli_Shigella",55,"cluster4"
"53","Klebsiella",5,"cluster4"
"54","Klebsiella_oxytoca",1,"cluster4"
"55","Legionella_pneumophila",1,"cluster4"
"56","Listeria",24,"cluster4"
"57","Mycobacterium_tuberculosis",6,"cluster4"
"58","Neisseria",6,"cluster4"
"59","Pseudomonas_aeruginosa",6,"cluster4"
"60","Salmonella",145,"cluster4"
"61","Serratia",1,"cluster4"
"62","Acinetobacter",2,"cluster5"
"63","Campylobacter",6,"cluster5"
"64","Clostridioides_difficile",3,"cluster5"
"65","Cronobacter",2,"cluster5"
"66","Enterobacter",1,"cluster5"
"67","Escherichia_coli_Shigella",33,"cluster5"
"68","Klebsiella",4,"cluster5"
"69","Listeria",8,"cluster5"
"70","Mycobacterium_tuberculosis",5,"cluster5"
"71","Neisseria",4,"cluster5"
"72","Pseudomonas_aeruginosa",3,"cluster5"
"73","Salmonella",36,"cluster5"
"74","Serratia",1,"cluster5"
"75","Staphylococcus_pseudintermedius",1,"cluster5"
"76","Vibrio_cholerae",1,"cluster5"
"77","Vibrio_parahaemolyticus",1,"cluster5"
"78","Acinetobacter",1,"cluster6"
"79","Campylobacter",3,"cluster6"
"80","Clostridioides_difficile",1,"cluster6"
"81","Enterobacter",1,"cluster6"
"82","Escherichia_coli_Shigella",16,"cluster6"
"83","Klebsiella",1,"cluster6"
"84","Neisseria",1,"cluster6"
"85","Pseudomonas_aeruginosa",2,"cluster6"
"86","Salmonella",3,"cluster6"
"87","Acinetobacter",2,"cluster7"
"88","Campylobacter",4,"cluster7"
"89","Clostridioides_difficile",2,"cluster7"
"90","Enterobacter",1,"cluster7"
"91","Escherichia_coli_Shigella",20,"cluster7"
"92","Legionella_pneumophila",1,"cluster7"
"93","Listeria",10,"cluster7"
"94","Mycobacterium_tuberculosis",3,"cluster7"
"95","Neisseria",1,"cluster7"
"96","Pseudomonas_aeruginosa",2,"cluster7"
"97","Salmonella",30,"cluster7"
"98","Campylobacter",10,"cluster8"
"99","Corynebacterium_striatum",1,"cluster8"
"100","Cronobacter",2,"cluster8"
"101","Elizabethkingia",2,"cluster8"
"102","Enterobacter",1,"cluster8"
"103","Escherichia_coli_Shigella",18,"cluster8"
"104","Klebsiella",2,"cluster8"
"105","Legionella_pneumophila",1,"cluster8"
"106","Listeria",10,"cluster8"
"107","Morganella",1,"cluster8"
"108","Mycobacterium_tuberculosis",12,"cluster8"
"109","Pseudomonas_aeruginosa",3,"cluster8"
"110","Salmonella",66,"cluster8"
"111","Staphylococcus_pseudintermedius",1,"cluster8"
"112","Campylobacter",1,"cluster9"
"113","Escherichia_coli_Shigella",8,"cluster9"
"114","Klebsiella",1,"cluster9"
"115","Listeria",3,"cluster9"
"116","Salmonella",1,"cluster9"
